PROB_NAME,MACHINE,PROB_SIZE,NUMBER_CORES,ALG_TIME,TOTAL_TIME,SPEEDUP
PI_RANDOM,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4194304,4,0.022855804,0.022868443,1.87E+00
PI_RANDOM,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8388608,4,0.048407683,0.048420186,1.74E+00
PI_RANDOM,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16777216,4,0.094852128,0.094866764,1.78E+00
PI_RANDOM,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,33554432,4,0.193204252,0.193216643,1.73E+00
PI_RANDOM,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,67108864,4,0.361619788,0.361631745,1.85E+00
PI_RANDOM,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,134217728,4,0.723315152,0.723327462,1.84E+00
,,,,,,
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16,0,1.49E-05,2.63E-05,1
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32,0,1.39E-05,2.52E-05,1
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,64,0,1.44E-05,2.56E-05,1
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,128,0,1.55E-05,2.64E-05,1
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,256,0,1.86E-05,2.95E-05,1
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,512,0,2.47E-05,3.57E-05,1
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1024,0,3.77E-05,5.11E-05,1
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2048,0,5.91E-05,6.99E-05,1
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4096,0,0.000109588,0.000120411,1
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8192,0,0.000203059,0.000213885,1
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16384,0,0.000416257,0.000427378,1
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32768,0,0.000797795,0.000808998,1
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,65536,0,0.001614874,0.00162664,1
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,131072,0,0.003191755,0.003203413,1
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,262144,0,0.006332481,0.00634415,1
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,524288,0,0.016071753,0.016083406,1
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1048576,0,0.025499525,0.025510813,1
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2097152,0,0.059540349,0.059555283,1
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4194304,0,0.101745514,0.101757904,1
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8388608,0,0.22784106,0.227852698,1
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16777216,0,0.418376107,0.418387836,1
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,33554432,0,0.780361779,0.780373751,1
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,67108864,0,1.54052812,1.54053951,1
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,134217728,0,3.046131047,3.046142723,1
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16,4,0.000100967,0.000140366,1.48E-01
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32,4,9.46E-05,0.000132832,1.47E-01
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,64,4,9.16E-05,0.00013722,1.57E-01
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,128,4,9.17E-05,0.000129439,1.69E-01
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,256,4,9.66E-05,0.000136267,1.93E-01
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,512,4,0.000102638,0.000140741,2.41E-01
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1024,4,0.000100396,0.000138459,3.76E-01
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2048,4,0.000107433,0.000145506,5.50E-01
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4096,4,0.000119776,0.000159092,9.15E-01
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8192,4,0.00014554,0.000184908,1.40E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16384,4,0.000200815,0.000240356,2.07E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32768,4,0.000286466,0.000326136,2.78E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,65536,4,0.000489754,0.00052898,3.30E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,131072,4,0.000900711,0.000939767,3.54E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,262144,4,0.001719595,0.001759681,3.68E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,524288,4,0.003313529,0.003351892,4.85E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1048576,4,0.006463693,0.006505838,3.95E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2097152,4,0.01278056,0.012819619,4.66E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4194304,4,0.027881273,0.027919948,3.65E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8388608,4,0.050235764,0.050274103,4.54E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16777216,4,0.111735854,0.111775616,3.74E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,33554432,4,0.226483615,0.226523289,3.45E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,67108864,4,0.480996183,0.481035718,3.20E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,134217728,4,0.850440714,0.85047945,3.58E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16,8,0.004507873,0.004547105,3.32E-03
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32,8,0.004624292,0.004662868,3.00E-03
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,64,8,0.004787214,0.004826377,3.01E-03
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,128,8,0.005061357,0.005103986,3.06E-03
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,256,8,0.004924856,0.00496391,3.79E-03
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,512,8,0.004172647,0.004211958,5.92E-03
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1024,8,0.004359747,0.004400899,8.65E-03
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2048,8,0.004421977,0.004460887,1.34E-02
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4096,8,0.003884264,0.003922963,2.82E-02
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8192,8,0.004227524,0.004266725,4.80E-02
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16384,8,0.005373292,0.00541357,7.75E-02
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32768,8,0.004411357,0.004450649,1.81E-01
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,65536,8,0.004545732,0.004584639,3.55E-01
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,131072,8,0.005895199,0.005935579,5.41E-01
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,262144,8,0.008925049,0.008964482,7.10E-01
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,524288,8,0.006863918,0.006903407,2.34E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1048576,8,0.008819958,0.00885855,2.89E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2097152,8,0.01380394,0.013841795,4.31E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4194304,8,0.021219148,0.021257126,4.79E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8388608,8,0.038518413,0.038556046,5.92E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16777216,8,0.067547077,0.067584549,6.19E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,33554432,8,0.128687646,0.128724352,6.06E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,67108864,8,0.213678646,0.213714495,7.21E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,134217728,8,0.458880675,0.458917739,6.64E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16,12,0.003298928,0.003336497,4.53E-03
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32,12,0.003224861,0.003263989,4.31E-03
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,64,12,0.00208042,0.002117589,6.92E-03
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,128,12,0.002074408,0.002113385,7.46E-03
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,256,12,0.002103813,0.002141217,8.86E-03
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,512,12,0.002144277,0.002183948,1.15E-02
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1024,12,0.002143093,0.002180806,1.76E-02
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2048,12,0.002074896,0.002112825,2.85E-02
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4096,12,0.002083933,0.002121693,5.26E-02
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8192,12,0.002268452,0.002307122,8.95E-02
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16384,12,0.0024089,0.002446412,1.73E-01
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32768,12,0.002169765,0.002208112,3.68E-01
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,65536,12,0.002815383,0.002854232,5.74E-01
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,131072,12,0.00262004,0.002657594,1.22E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,262144,12,0.003233558,0.003273974,1.96E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,524288,12,0.003635666,0.003674446,4.42E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1048576,12,0.005791461,0.005829821,4.40E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2097152,12,0.0082858,0.00832716,7.19E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4194304,12,0.014711504,0.014749255,6.92E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8388608,12,0.031344808,0.031383454,7.27E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16777216,12,0.053926184,0.053964555,7.76E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,33554432,12,0.087630495,0.087668601,8.91E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,67108864,12,0.176250562,0.176288353,8.74E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,134217728,12,0.361850337,0.361888822,8.42E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16,16,0.004820639,0.004865059,3.10E-03
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32,16,0.006042982,0.006080214,2.30E-03
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,64,16,0.006214044,0.006250906,2.32E-03
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,128,16,0.006101031,0.006144605,2.54E-03
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,256,16,0.005741205,0.005778492,3.25E-03
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,512,16,0.00535287,0.005393898,4.61E-03
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1024,16,0.006092701,0.006130832,6.19E-03
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2048,16,0.007135682,0.007180106,8.28E-03
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4096,16,0.006304693,0.006350371,1.74E-02
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8192,16,0.00802771,0.008066753,2.53E-02
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16384,16,0.006846385,0.006885133,6.08E-02
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32768,16,0.006001916,0.006040899,1.33E-01
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,65536,16,0.007892982,0.007932434,2.05E-01
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,131072,16,0.008090077,0.008130774,3.95E-01
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,262144,16,0.006374993,0.006418156,9.93E-01
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,524288,16,0.007244269,0.007286303,2.22E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1048576,16,0.01148738,0.011526664,2.22E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2097152,16,0.014875624,0.014913935,4.00E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4194304,16,0.021932208,0.021970274,4.64E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8388608,16,0.032377405,0.032413725,7.04E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16777216,16,0.0593297,0.0593672,7.05E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,33554432,16,0.094611719,0.094648637,8.25E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,67108864,16,0.182275126,0.182312403,8.45E+00
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,134217728,16,0.32711142,0.327148385,9.31E+00
